Pavardė        Vardas        Galutinis (Med.)    
Pavarde1975    Vardas1975     2.20
Pavarde8861    Vardas8861     2.20
Pavarde9068    Vardas9068     2.40
Pavarde9754    Vardas9754     2.40
Pavarde5250    Vardas5250     2.40
Pavarde8966    Vardas8966     2.40
Pavarde271     Vardas271      2.40
Pavarde2480    Vardas2480     2.40
Pavarde7376    Vardas7376     2.40
Pavarde5039    Vardas5039     2.40
Pavarde3787    Vardas3787     2.40
Pavarde8852    Vardas8852     2.40
Pavarde7616    Vardas7616     2.40
Pavarde7485    Vardas7485     2.40
Pavarde3889    Vardas3889     2.40
Pavarde6083    Vardas6083     2.40
Pavarde5558    Vardas5558     2.40
Pavarde3808    Vardas3808     2.40
Pavarde4673    Vardas4673     2.40
Pavarde4800    Vardas4800     2.40
Pavarde186     Vardas186      2.40
Pavarde4869    Vardas4869     2.40
Pavarde644     Vardas644      2.40
Pavarde3708    Vardas3708     2.40
Pavarde9489    Vardas9489     2.40
Pavarde597     Vardas597      2.40
Pavarde8312    Vardas8312     2.40
Pavarde8176    Vardas8176     2.40
Pavarde2308    Vardas2308     2.40
Pavarde9251    Vardas9251     2.40
Pavarde1692    Vardas1692     2.40
Pavarde783     Vardas783      2.40
Pavarde4854    Vardas4854     2.40
Pavarde5207    Vardas5207     2.40
Pavarde8198    Vardas8198     2.40
Pavarde807     Vardas807      2.40
Pavarde189     Vardas189      2.40
Pavarde8546    Vardas8546     2.40
Pavarde9358    Vardas9358     2.40
Pavarde7744    Vardas7744     2.40
Pavarde6104    Vardas6104     2.40
Pavarde2867    Vardas2867     2.40
Pavarde8394    Vardas8394     2.40
Pavarde9211    Vardas9211     2.40
Pavarde5948    Vardas5948     2.40
Pavarde4026    Vardas4026     2.60
Pavarde4202    Vardas4202     2.60
Pavarde7516    Vardas7516     2.60
Pavarde5322    Vardas5322     2.60
Pavarde5490    Vardas5490     2.60
Pavarde6331    Vardas6331     2.60
Pavarde9446    Vardas9446     2.60
Pavarde3361    Vardas3361     2.60
Pavarde9432    Vardas9432     2.60
Pavarde633     Vardas633      2.60
Pavarde9021    Vardas9021     2.60
Pavarde9009    Vardas9009     2.60
Pavarde1062    Vardas1062     2.60
Pavarde655     Vardas655      2.60
Pavarde657     Vardas657      2.60
Pavarde3368    Vardas3368     2.60
Pavarde9036    Vardas9036     2.60
Pavarde6589    Vardas6589     2.60
Pavarde8960    Vardas8960     2.60
Pavarde5296    Vardas5296     2.60
Pavarde9537    Vardas9537     2.60
Pavarde6846    Vardas6846     2.60
Pavarde506     Vardas506      2.60
Pavarde508     Vardas508      2.60
Pavarde3815    Vardas3815     2.60
Pavarde516     Vardas516      2.60
Pavarde4958    Vardas4958     2.60
Pavarde4953    Vardas4953     2.60
Pavarde6285    Vardas6285     2.60
Pavarde5318    Vardas5318     2.60
Pavarde569     Vardas569      2.60
Pavarde6832    Vardas6832     2.60
Pavarde577     Vardas577      2.60
Pavarde4158    Vardas4158     2.60
Pavarde592     Vardas592      2.60
Pavarde1107    Vardas1107     2.60
Pavarde2562    Vardas2562     2.60
Pavarde598     Vardas598      2.60
Pavarde1084    Vardas1084     2.60
Pavarde2658    Vardas2658     2.60
Pavarde9144    Vardas9144     2.60
Pavarde7642    Vardas7642     2.60
Pavarde4785    Vardas4785     2.60
Pavarde9288    Vardas9288     2.60
Pavarde9276    Vardas9276     2.60
Pavarde9125    Vardas9125     2.60
Pavarde3403    Vardas3403     2.60
Pavarde6706    Vardas6706     2.60
Pavarde2582    Vardas2582     2.60
Pavarde6713    Vardas6713     2.60
Pavarde3451    Vardas3451     2.60
Pavarde6719    Vardas6719     2.60
Pavarde9254    Vardas9254     2.60
Pavarde9103    Vardas9103     2.60
Pavarde7371    Vardas7371     2.60
Pavarde4855    Vardas4855     2.60
Pavarde929     Vardas929      2.60
Pavarde3417    Vardas3417     2.60
Pavarde6303    Vardas6303     2.60
Pavarde9246    Vardas9246     2.60
Pavarde9165    Vardas9165     2.60
Pavarde3444    Vardas3444     2.60
Pavarde6307    Vardas6307     2.60
Pavarde4107    Vardas4107     2.60
Pavarde9201    Vardas9201     2.60
Pavarde9337    Vardas9337     2.60
Pavarde2645    Vardas2645     2.60
Pavarde2791    Vardas2791     2.60
Pavarde9363    Vardas9363     2.60
Pavarde1038    Vardas1038     2.60
Pavarde9053    Vardas9053     2.60
Pavarde4175    Vardas4175     2.60
Pavarde5418    Vardas5418     2.60
Pavarde6012    Vardas6012     2.60
Pavarde6656    Vardas6656     2.60
Pavarde9075    Vardas9075     2.60
Pavarde2792    Vardas2792     2.60
Pavarde4194    Vardas4194     2.60
Pavarde5985    Vardas5985     2.60
Pavarde7531    Vardas7531     2.60
Pavarde5353    Vardas5353     2.60
Pavarde6675    Vardas6675     2.60
Pavarde753     Vardas753      2.60
Pavarde9090    Vardas9090     2.60
Pavarde4192    Vardas4192     2.60
Pavarde764     Vardas764      2.60
Pavarde772     Vardas772      2.60
Pavarde780     Vardas780      2.60
Pavarde3851    Vardas3851     2.60
Pavarde7386    Vardas7386     2.60
Pavarde8252    Vardas8252     2.60
Pavarde7703    Vardas7703     2.60
Pavarde8323    Vardas8323     2.60
Pavarde8307    Vardas8307     2.60
Pavarde4449    Vardas4449     2.60
Pavarde8296    Vardas8296     2.60
Pavarde1853    Vardas1853     2.60
Pavarde7138    Vardas7138     2.60
Pavarde7153    Vardas7153     2.60
Pavarde3043    Vardas3043     2.60
Pavarde5770    Vardas5770     2.60
Pavarde5961    Vardas5961     2.60
Pavarde4429    Vardas4429     2.60
Pavarde7173    Vardas7173     2.60
Pavarde8241    Vardas8241     2.60
Pavarde4425    Vardas4425     2.60
Pavarde4248    Vardas4248     2.60
Pavarde5781    Vardas5781     2.60
Pavarde8213    Vardas8213     2.60
Pavarde5793    Vardas5793     2.60
Pavarde4027    Vardas4027     2.60
Pavarde4494    Vardas4494     2.60
Pavarde8478    Vardas8478     2.60
Pavarde8476    Vardas8476     2.60
Pavarde8462    Vardas8462     2.60
Pavarde4520    Vardas4520     2.60
Pavarde7061    Vardas7061     2.60
Pavarde1732    Vardas1732     2.60
Pavarde6198    Vardas6198     2.60
Pavarde5721    Vardas5721     2.60
Pavarde1748    Vardas1748     2.60
Pavarde1757    Vardas1757     2.60
Pavarde7734    Vardas7734     2.60
Pavarde3089    Vardas3089     2.60
Pavarde1780    Vardas1780     2.60
Pavarde3087    Vardas3087     2.60
Pavarde3086    Vardas3086     2.60
Pavarde3084    Vardas3084     2.60
Pavarde8359    Vardas8359     2.60
Pavarde5745    Vardas5745     2.60
Pavarde4466    Vardas4466     2.60
Pavarde8337    Vardas8337     2.60
Pavarde5906    Vardas5906     2.60
Pavarde4051    Vardas4051     2.60
Pavarde4055    Vardas4055     2.60
Pavarde5944    Vardas5944     2.60
Pavarde2950    Vardas2950     2.60
Pavarde7937    Vardas7937     2.60
Pavarde5886    Vardas5886     2.60
Pavarde7773    Vardas7773     2.60
Pavarde2922    Vardas2922     2.60
Pavarde2264    Vardas2264     2.60
Pavarde7875    Vardas7875     2.60
Pavarde7246    Vardas7246     2.60
Pavarde2314    Vardas2314     2.60
Pavarde2315    Vardas2315     2.60
Pavarde2907    Vardas2907     2.60
Pavarde5918    Vardas5918     2.60
Pavarde2330    Vardas2330     2.60
Pavarde2332    Vardas2332     2.60
Pavarde2339    Vardas2339     2.60
Pavarde7822    Vardas7822     2.60
Pavarde7815    Vardas7815     2.60
Pavarde2081    Vardas2081     2.60
Pavarde5820    Vardas5820     2.60
Pavarde4034    Vardas4034     2.60
Pavarde2051    Vardas2051     2.60
Pavarde4360    Vardas4360     2.60
Pavarde8101    Vardas8101     2.60
Pavarde2069    Vardas2069     2.60
Pavarde2994    Vardas2994     2.60
Pavarde5846    Vardas5846     2.60
Pavarde8085    Vardas8085     2.60
Pavarde5689    Vardas5689     2.60
Pavarde8055    Vardas8055     2.60
Pavarde2109    Vardas2109     2.60
Pavarde2980    Vardas2980     2.60
Pavarde2882    Vardas2882     2.60
Pavarde8010    Vardas8010     2.60
Pavarde2139    Vardas2139     2.60
Pavarde7760    Vardas7760     2.60
Pavarde4335    Vardas4335     2.60
Pavarde5872    Vardas5872     2.60
Pavarde3258    Vardas3258     2.60
Pavarde3271    Vardas3271     2.60
Pavarde7629    Vardas7629     2.60
Pavarde1301    Vardas1301     2.60
Pavarde6930    Vardas6930     2.60
Pavarde3265    Vardas3265     2.60
Pavarde7634    Vardas7634     2.60
Pavarde1321    Vardas1321     2.60
Pavarde1328    Vardas1328     2.60
Pavarde8816    Vardas8816     2.60
Pavarde3259    Vardas3259     2.60
Pavarde1280    Vardas1280     2.60
Pavarde6942    Vardas6942     2.60
Pavarde6243    Vardas6243     2.60
Pavarde3244    Vardas3244     2.60
Pavarde6239    Vardas6239     2.60
Pavarde3937    Vardas3937     2.60
Pavarde7637    Vardas7637     2.60
Pavarde4616    Vardas4616     2.60
Pavarde8748    Vardas8748     2.60
Pavarde6049    Vardas6049     2.60
Pavarde5548    Vardas5548     2.60
Pavarde5520    Vardas5520     2.60
Pavarde3903    Vardas3903     2.60
Pavarde6854    Vardas6854     2.60
Pavarde2831    Vardas2831     2.60
Pavarde2535    Vardas2535     2.60
Pavarde1188    Vardas1188     2.60
Pavarde4206    Vardas4206     2.60
Pavarde1204    Vardas1204     2.60
Pavarde3311    Vardas3311     2.60
Pavarde4209    Vardas4209     2.60
Pavarde6236    Vardas6236     2.60
Pavarde8909    Vardas8909     2.60
Pavarde1225    Vardas1225     2.60
Pavarde1229    Vardas1229     2.60
Pavarde5983    Vardas5983     2.60
Pavarde8895    Vardas8895     2.60
Pavarde6905    Vardas6905     2.60
Pavarde1250    Vardas1250     2.60
Pavarde1270    Vardas1270     2.60
Pavarde8864    Vardas8864     2.60
Pavarde4551    Vardas4551     2.60
Pavarde3192    Vardas3192     2.60
Pavarde8610    Vardas8610     2.60
Pavarde7662    Vardas7662     2.60
Pavarde2853    Vardas2853     2.60
Pavarde3178    Vardas3178     2.60
Pavarde7668    Vardas7668     2.60
Pavarde8574    Vardas8574     2.60
Pavarde1595    Vardas1595     2.60
Pavarde1597    Vardas1597     2.60
Pavarde3168    Vardas3168     2.60
Pavarde8618    Vardas8618     2.60
Pavarde1608    Vardas1608     2.60
Pavarde3157    Vardas3157     2.60
Pavarde1618    Vardas1618     2.60
Pavarde8534    Vardas8534     2.60
Pavarde5666    Vardas5666     2.60
Pavarde8524    Vardas8524     2.60
Pavarde8520    Vardas8520     2.60
Pavarde1651    Vardas1651     2.60
Pavarde3133    Vardas3133     2.60
Pavarde1476    Vardas1476     2.60
Pavarde8707    Vardas8707     2.60
Pavarde1427    Vardas1427     2.60
Pavarde8692    Vardas8692     2.60
Pavarde3945    Vardas3945     2.60
Pavarde8671    Vardas8671     2.60
Pavarde1462    Vardas1462     2.60
Pavarde1465    Vardas1465     2.60
Pavarde1466    Vardas1466     2.60
Pavarde6966    Vardas6966     2.60
Pavarde6851    Vardas6851     2.60
Pavarde7649    Vardas7649     2.60
Pavarde1496    Vardas1496     2.60
Pavarde8640    Vardas8640     2.60
Pavarde1509    Vardas1509     2.60
Pavarde6976    Vardas6976     2.60
Pavarde5639    Vardas5639     2.60
Pavarde2484    Vardas2484     2.60
Pavarde6232    Vardas6232     2.60
Pavarde4571    Vardas4571     2.60
Pavarde3624    Vardas3624     2.60
Pavarde2707    Vardas2707     2.60
Pavarde3602    Vardas3602     2.60
Pavarde161     Vardas161      2.60
Pavarde3606    Vardas3606     2.60
Pavarde3804    Vardas3804     2.60
Pavarde9744    Vardas9744     2.60
Pavarde6423    Vardas6423     2.60
Pavarde3700    Vardas3700     2.60
Pavarde360     Vardas360      2.60
Pavarde3736    Vardas3736     2.60
Pavarde9671    Vardas9671     2.60
Pavarde3807    Vardas3807     2.60
Pavarde141     Vardas141      2.60
Pavarde5178    Vardas5178     2.60
Pavarde9793    Vardas9793     2.60
Pavarde3669    Vardas3669     2.60
Pavarde9986    Vardas9986     2.60
Pavarde6481    Vardas6481     2.60
Pavarde5146    Vardas5146     2.60
Pavarde4133    Vardas4133     2.60
Pavarde7478    Vardas7478     2.60
Pavarde7475    Vardas7475     2.60
Pavarde216     Vardas216      2.60
Pavarde9945    Vardas9945     2.60
Pavarde5014    Vardas5014     2.60
Pavarde9838    Vardas9838     2.60
Pavarde5033    Vardas5033     2.60
Pavarde9695    Vardas9695     2.60
Pavarde9851    Vardas9851     2.60
Pavarde60      Vardas60       2.60
Pavarde9689    Vardas9689     2.60
Pavarde313     Vardas313      2.60
Pavarde9617    Vardas9617     2.60
Pavarde6355    Vardas6355     2.60
Pavarde386     Vardas386      2.60
Pavarde268     Vardas268      2.60
Pavarde5244    Vardas5244     2.60
Pavarde9631    Vardas9631     2.60
Pavarde9994    Vardas9994     2.60
Pavarde2767    Vardas2767     2.60
Pavarde6438    Vardas6438     2.60
Pavarde9953    Vardas9953     2.60
Pavarde6499    Vardas6499     2.60
Pavarde407     Vardas407      2.60
Pavarde6406    Vardas6406     2.60
Pavarde400     Vardas400      2.60
Pavarde6495    Vardas6495     2.60
Pavarde9654    Vardas9654     2.60
Pavarde5104    Vardas5104     2.60
Pavarde5228    Vardas5228     2.60
Pavarde9895    Vardas9895     2.60
Pavarde9559    Vardas9559     2.60
Pavarde283     Vardas283      2.60
Pavarde9657    Vardas9657     2.60
Pavarde5174    Vardas5174     2.60
Pavarde49      Vardas49       2.60
Pavarde1257    Vardas1257     2.80
Pavarde6859    Vardas6859     2.80
Pavarde2773    Vardas2773     2.80
Pavarde9409    Vardas9409     2.80
Pavarde9406    Vardas9406     2.80
Pavarde1177    Vardas1177     2.80
Pavarde6925    Vardas6925     2.80
Pavarde4646    Vardas4646     2.80
Pavarde9728    Vardas9728     2.80
Pavarde6922    Vardas6922     2.80
Pavarde9615    Vardas9615     2.80
Pavarde1271    Vardas1271     2.80
Pavarde326     Vardas326      2.80
Pavarde5131    Vardas5131     2.80
Pavarde6062    Vardas6062     2.80
Pavarde4323    Vardas4323     2.80
Pavarde3320    Vardas3320     2.80
Pavarde351     Vardas351      2.80
Pavarde279     Vardas279      2.80
Pavarde5527    Vardas5527     2.80
Pavarde2839    Vardas2839     2.80
Pavarde7257    Vardas7257     2.80
Pavarde8924    Vardas8924     2.80
Pavarde1287    Vardas1287     2.80
Pavarde4063    Vardas4063     2.80
Pavarde5923    Vardas5923     2.80
Pavarde634     Vardas634      2.80
Pavarde9424    Vardas9424     2.80
Pavarde4211    Vardas4211     2.80
Pavarde5384    Vardas5384     2.80
Pavarde714     Vardas714      2.80
Pavarde5421    Vardas5421     2.80
Pavarde384     Vardas384      2.80
Pavarde9340    Vardas9340     2.80
Pavarde389     Vardas389      2.80
Pavarde4837    Vardas4837     2.80
Pavarde7868    Vardas7868     2.80
Pavarde4838    Vardas4838     2.80
Pavarde7867    Vardas7867     2.80
Pavarde7273    Vardas7273     2.80
Pavarde6726    Vardas6726     2.80
Pavarde6725    Vardas6725     2.80
Pavarde9148    Vardas9148     2.80
Pavarde4182    Vardas4182     2.80
Pavarde6718    Vardas6718     2.80
Pavarde3809    Vardas3809     2.80
Pavarde9268    Vardas9268     2.80
Pavarde7408    Vardas7408     2.80
Pavarde6696    Vardas6696     2.80
Pavarde424     Vardas424      2.80
Pavarde9295    Vardas9295     2.80
Pavarde6681    Vardas6681     2.80
Pavarde4286    Vardas4286     2.80
Pavarde7539    Vardas7539     2.80
Pavarde7849    Vardas7849     2.80
Pavarde1108    Vardas1108     2.80
Pavarde4727    Vardas4727     2.80
Pavarde9388    Vardas9388     2.80
Pavarde4734    Vardas4734     2.80
Pavarde2935    Vardas2935     2.80
Pavarde4738    Vardas4738     2.80
Pavarde3364    Vardas3364     2.80
Pavarde7596    Vardas7596     2.80
Pavarde6642    Vardas6642     2.80
Pavarde4263    Vardas4263     2.80
Pavarde4751    Vardas4751     2.80
Pavarde7922    Vardas7922     2.80
Pavarde2245    Vardas2245     2.80
Pavarde2246    Vardas2246     2.80
Pavarde1008    Vardas1008     2.80
Pavarde2248    Vardas2248     2.80
Pavarde9365    Vardas9365     2.80
Pavarde986     Vardas986      2.80
Pavarde9098    Vardas9098     2.80
Pavarde9676    Vardas9676     2.80
Pavarde6413    Vardas6413     2.80
Pavarde5336    Vardas5336     2.80
Pavarde9133    Vardas9133     2.80
Pavarde1935    Vardas1935     2.80
Pavarde7041    Vardas7041     2.80
Pavarde8238    Vardas8238     2.80
Pavarde2855    Vardas2855     2.80
Pavarde4967    Vardas4967     2.80
Pavarde4638    Vardas4638     2.80
Pavarde99      Vardas99       2.80
Pavarde1637    Vardas1637     2.80
Pavarde7034    Vardas7034     2.80
Pavarde3148    Vardas3148     2.80
Pavarde6485    Vardas6485     2.80
Pavarde8479    Vardas8479     2.80
Pavarde3169    Vardas3169     2.80
Pavarde5133    Vardas5133     2.80
Pavarde568     Vardas568      2.80
Pavarde4024    Vardas4024     2.80
Pavarde1948    Vardas1948     2.80
Pavarde3024    Vardas3024     2.80
Pavarde9479    Vardas9479     2.80
Pavarde8015    Vardas8015     2.80
Pavarde8617    Vardas8617     2.80
Pavarde54      Vardas54       2.80
Pavarde8381    Vardas8381     2.80
Pavarde5761    Vardas5761     2.80
Pavarde7135    Vardas7135     2.80
Pavarde1863    Vardas1863     2.80
Pavarde8310    Vardas8310     2.80
Pavarde9896    Vardas9896     2.80
Pavarde7494    Vardas7494     2.80
Pavarde4464    Vardas4464     2.80
Pavarde9867    Vardas9867     2.80
Pavarde5182    Vardas5182     2.80
Pavarde9866    Vardas9866     2.80
Pavarde9918    Vardas9918     2.80
Pavarde1773    Vardas1773     2.80
Pavarde3096    Vardas3096     2.80
Pavarde4255    Vardas4255     2.80
Pavarde5708    Vardas5708     2.80
Pavarde4946    Vardas4946     2.80
Pavarde7064    Vardas7064     2.80
Pavarde4515    Vardas4515     2.80
Pavarde8456    Vardas8456     2.80
Pavarde8457    Vardas8457     2.80
Pavarde3977    Vardas3977     2.80
Pavarde607     Vardas607      2.80
Pavarde1456    Vardas1456     2.80
Pavarde7199    Vardas7199     2.80
Pavarde5626    Vardas5626     2.80
Pavarde8685    Vardas8685     2.80
Pavarde7238    Vardas7238     2.80
Pavarde2396    Vardas2396     2.80
Pavarde6130    Vardas6130     2.80
Pavarde5617    Vardas5617     2.80
Pavarde2874    Vardas2874     2.80
Pavarde8721    Vardas8721     2.80
Pavarde1410    Vardas1410     2.80
Pavarde4250    Vardas4250     2.80
Pavarde8738    Vardas8738     2.80
Pavarde1394    Vardas1394     2.80
Pavarde610     Vardas610      2.80
Pavarde249     Vardas249      2.80
Pavarde8760    Vardas8760     2.80
Pavarde8135    Vardas8135     2.80
Pavarde8772    Vardas8772     2.80
Pavarde4985    Vardas4985     2.80
Pavarde8777    Vardas8777     2.80
Pavarde4633    Vardas4633     2.80
Pavarde4082    Vardas4082     2.80
Pavarde9588    Vardas9588     2.80
Pavarde8645    Vardas8645     2.80
Pavarde9813    Vardas9813     2.80
Pavarde5634    Vardas5634     2.80
Pavarde7291    Vardas7291     2.80
Pavarde1491    Vardas1491     2.80
Pavarde1520    Vardas1520     2.80
Pavarde1992    Vardas1992     2.80
Pavarde5223    Vardas5223     2.80
Pavarde5813    Vardas5813     2.80
Pavarde8165    Vardas8165     2.80
Pavarde3016    Vardas3016     2.80
Pavarde9805    Vardas9805     2.80
Pavarde1523    Vardas1523     2.80
Pavarde4390    Vardas4390     2.80
Pavarde1659    Vardas1659     3.00
Pavarde4972    Vardas4972     3.00
Pavarde3038    Vardas3038     3.00
Pavarde1915    Vardas1915     3.00
Pavarde93      Vardas93       3.00
Pavarde7872    Vardas7872     3.00
Pavarde6452    Vardas6452     3.00
Pavarde3617    Vardas3617     3.00
Pavarde3009    Vardas3009     3.00
Pavarde413     Vardas413      3.00
Pavarde7305    Vardas7305     3.00
Pavarde2417    Vardas2417     3.00
Pavarde6390    Vardas6390     3.00
Pavarde9806    Vardas9806     3.00
Pavarde5215    Vardas5215     3.00
Pavarde1561    Vardas1561     3.00
Pavarde3340    Vardas3340     3.00
Pavarde2222    Vardas2222     3.00
Pavarde3330    Vardas3330     3.00
Pavarde1487    Vardas1487     3.00
Pavarde3784    Vardas3784     3.00
Pavarde4692    Vardas4692     3.00
Pavarde8587    Vardas8587     3.00
Pavarde5261    Vardas5261     3.00
Pavarde7767    Vardas7767     3.00
Pavarde4060    Vardas4060     3.00
Pavarde2196    Vardas2196     3.00
Pavarde241     Vardas241      3.00
Pavarde4625    Vardas4625     3.00
Pavarde8809    Vardas8809     3.00
Pavarde9190    Vardas9190     3.00
Pavarde8583    Vardas8583     3.00
Pavarde4558    Vardas4558     3.00
